,route_id,stop_id,stop_name
205,105,9,Ramanathapuram
206,105,10,Sowripalayam Pirivu
207,105,11,Iyer Hospital - Trichy rd
208,105,12,Central studio - SInganallur
209,105,13,Rajalakshmi mills/PERKS
210,105,14,Boat House - Singanallur
211,105,15,Housing Unit - Singanallur
212,105,16,Singanallur
213,105,17,Vasantha mills - Singanallur
214,105,18,Jai Shanthi - Singanallur
215,105,19,Ondipudur
216,105,20,Irugur Pirivu
217,105,21,Sinthamanipudur
218,105,22,Pappampatti Pirivu
219,105,23,Ravathur Pirivu
220,105,24,Kumaran Kottam - Trichy road
221,105,25,Ranganathapuram - Sulur
222,105,26,Sulur
223,105,27,RVS - Sulur
224,105,28,Kangeyampalayam
225,105,29,Sulur Aero
226,105,30,Karanampettai


227,105B,1,Ukkadam
228,105B,2,BigBazaar
229,105B,3,Town Hall
230,105B,4,Government Hospital
231,105B,5,Rainbow - Trichy rd
232,105B,6,Sreepathi/Kannan
233,105B,7,Sungam
234,105B,8,Olympus - Ramanathapuram
235,105B,9,Ramanathapuram
236,105B,10,Sowripalayam Pirivu
237,105B,11,Iyer Hospital - Trichy rd
238,105B,12,Central studio - SInganallur
239,105B,13,Rajalakshmi mills/PERKS
240,105B,14,Boat House - Singanallur
241,105B,15,Housing Unit - Singanallur
242,105B,16,Singanallur
243,105B,17,Vasantha mills - Singanallur
244,105B,18,Jai Shanthi - Singanallur
245,105B,19,Ondipudur
246,105B,20,Irugur Pirivu
247,105B,21,Sinthamanipudur
248,105B,22,Pappampatti Pirivu
249,105B,23,Ravathur Pirivu
250,105B,24,Kumaran Kottam - Trichy road
251,105B,25,Ranganathapuram - Sulur
252,105B,26,Sulur
253,105B,27,RVS - Sulur
254,105B,28,Kangeyampalayam
255,105B,29,Sulur Aero
256,105B,30,Karanampettai


257,105C,1,Gandhipuram
258,105C,2,Womens Polytechnic
259,105C,3,Mani School/GKNM Hospl
260,105C,4,Lakshmi Mills Junction
261,105C,5,Nava India - Avinashi rd
262,105C,6,Suguna Kalyana Mandapam
263,105C,7,PSG Tech - Peelamedu
264,105C,8,PSG Krishnammal
265,105C,9,Varatharaja Mills
266,105C,10,Hope College
267,105C,11,Manis Theatre
268,105C,12,Ramanuja Nagar
269,105C,13,LIONs - Singanallur
270,105C,14,ESI - Singanallur
271,105C,15,Varatharajapuram
272,105C,16,Singanallur
273,105C,17,Vasantha mills - Singanallur
274,105C,18,Jai Shanthi - Singanallur
275,105C,19,Ondipudur
276,105C,20,Irugur Pirivu
277,105C,21,Sinthamanipudur
278,105C,22,Pappampatti Pirivu
279,105C,23,Ravathur Pirivu
